destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points,sakbe_status,sakbe_distance_km,sakbe_duration_min,sakbe_costo_casetas,sakbe_costo_combustible,sakbe_costo_total,sakbe_source,sakbe_warning,sakbe_num_segments,diff_distance_km,diff_distance_pct,diff_costo_total,diff_costo_pct,costo_casetas_final,costo_combustible_final,costo_total_final,fuente_costos
Marín,25.8782,-100.0297,3,NORESTE,42.72,0.6,117.48,187.97,305.45,LOCAL,here_routing,646,success,39.95,40.5,0.0,175.66,175.66,sakbe,,1,-2.769999999999996,-6.5,-129.79,-42.5,0.0,175.66,175.66,SAKBE_INEGI
Galeana,24.8206,-100.0757,3,NORESTE,234.57,3.4,645.07,1032.11,1677.18,REGIONAL,here_routing,2386,success,200.45,199.2,0.0,881.38,881.38,sakbe,,1,-34.120000000000005,-14.5,-795.8000000000001,-47.4,0.0,881.38,881.38,SAKBE_INEGI
Piedras Negras,28.6907,-100.5423,2,NORESTE,394.95,5.6,1086.11,1737.78,2823.89,FORANEA,here_routing,2220,success,390.69,275.1,621.0,1717.86,2338.86,sakbe,,1,-4.259999999999991,-1.1,-485.02999999999975,-17.2,621.0,1717.86,2338.8599999999997,SAKBE_INEGI
Valle Hermoso,25.6706,-97.8124,2,NORESTE,301.4,4.3,828.85,1326.16,2155.01,FORANEA,here_routing,2095,success,320.17,219.5,1040.0,1407.79,2447.79,sakbe,,1,18.77000000000004,6.2,292.77999999999975,13.6,1040.0,1407.79,2447.79,SAKBE_INEGI
Villagrán,20.5155,-100.9968,2,BAJIO,741.66,10.6,2039.56,3263.3,5302.87,LEJANA,here_routing,5496,success,904.86,593.2,1951.0,3978.67,5929.67,sakbe_segmented,,3,163.20000000000005,22.0,626.8000000000002,11.8,1951.0,3978.67,5929.67,SAKBE_INEGI
Tuxtla Gutiérrez,16.7457,-93.1377,1,GOLFO_SURESTE,1489.3,21.3,4095.57,6552.92,10648.49,LEJANA,here_routing,10790,success,2384.98,1612.1,6069.0,10486.76,16555.76,sakbe_segmented,,7,895.6800000000001,60.1,5907.269999999999,55.5,6069.0,10486.76,16555.760000000002,SAKBE_INEGI
Guanajuato,21.0203,-101.2574,1,BAJIO,681.14,9.7,1873.13,2997.02,4870.15,FORANEA,here_routing,5249,success,681.14,458.1,1151.0,2994.97,4145.97,sakbe_segmented,,2,0.0,0.0,-724.1799999999994,-14.9,1151.0,2994.97,4145.969999999999,SAKBE_INEGI
Tampico,22.2667,-97.8714,1,NORESTE,515.14,7.4,1416.63,2266.62,3683.25,FORANEA,here_routing,3863,success,814.2,566.3,1492.0,3580.04,5072.04,sakbe_segmented,,2,299.06000000000006,58.1,1388.79,37.7,1492.0,3580.04,5072.04,SAKBE_INEGI
Hermosillo,29.0832,-110.9766,1,FRONTERA_NORTE,1720.48,24.6,4731.32,7570.11,12301.43,LEJANA,here_routing,10903,success,1714.06,1153.0,5563.0,7536.72,13099.72,sakbe_segmented,,4,-6.420000000000073,-0.4,798.289999999999,6.5,5563.0,7536.72,13099.720000000001,SAKBE_INEGI
Metepec,19.2551,-99.6036,1,CENTRO,893.85,12.8,2458.09,3932.94,6391.03,LEJANA,here_routing,7032,success,1184.1,818.7,2332.21,5206.51,7538.72,sakbe_mixed_3/4,Route calculated in 4 segments. 3 used Sakbe API.,4,290.2499999999999,32.5,1147.6900000000005,18.0,2332.21,5206.51,7538.72,SAKBE_INEGI
La Paz,24.1258,-110.3074,1,CENTRO,1495.22,21.4,4111.86,6578.97,10690.82,LEJANA,here_routing,8816,success,2005.08,1641.7,4057.0,8816.34,12873.34,sakbe_segmented,,5,509.8599999999999,34.1,2182.5200000000004,20.4,4057.0,8816.34,12873.34,SAKBE_INEGI
Guadalajara,20.673,-103.3383,1,OCCIDENTE,802.18,11.5,2205.99,3529.59,5735.59,LEJANA,here_routing,5573,success,899.08,596.7,1966.0,3953.25,5919.25,sakbe_segmented,,3,96.90000000000009,12.1,183.65999999999985,3.2,1966.0,3953.25,5919.25,SAKBE_INEGI
Zapopan,20.6997,-103.4164,1,OCCIDENTE,818.51,11.7,2250.9,3601.44,5852.35,LEJANA,here_routing,5922,success,907.44,605.0,1966.0,3990.01,5956.01,sakbe_segmented,,3,88.93000000000006,10.9,103.65999999999985,1.8,1966.0,3990.01,5956.01,SAKBE_INEGI
